date,county,prob_deaths,fips,new_prob_deaths
2020-09-01,st_marys,0,24037,0
2020-09-01,talbot,0,24041,0
2020-09-01,washington,0,24043,0
2020-09-01,wicomico,0,24045,0
2020-09-01,worcester,1,24047,0
2020-09-01,unknown,2,NA,1
2020-09-02,allegany,0,24001,0
2020-09-02,anne_arundel,10,24003,0
2020-09-02,baltimore,23,24005,0
2020-09-02,baltimore_city,20,24510,0
2020-09-02,calvert,1,24009,0
2020-09-02,caroline,0,24011,0
2020-09-02,carroll,3,24013,0
2020-09-02,cecil,1,24015,0
2020-09-02,charles,2,24017,0
2020-09-02,dorchester,0,24019,0
2020-09-02,frederick,7,24021,0
2020-09-02,garrett,0,24023,0
2020-09-02,harford,3,24025,0
2020-09-02,howard,6,24027,0
2020-09-02,kent,2,24029,0
2020-09-02,montgomery,39,24031,0
2020-09-02,prince_georges,23,24033,0
2020-09-02,queen_annes,1,24035,0
2020-09-02,somerset,0,24039,0
2020-09-02,st_marys,0,24037,0
2020-09-02,talbot,0,24041,0
2020-09-02,washington,0,24043,0
2020-09-02,wicomico,0,24045,0
2020-09-02,worcester,1,24047,0
2020-09-02,unknown,1,NA,0
2020-09-03,allegany,0,24001,0
2020-09-03,anne_arundel,11,24003,1
2020-09-03,baltimore,23,24005,0
2020-09-03,baltimore_city,20,24510,0
2020-09-03,calvert,1,24009,0
2020-09-03,caroline,0,24011,0
2020-09-03,carroll,3,24013,0
2020-09-03,cecil,1,24015,0
2020-09-03,charles,2,24017,0
2020-09-03,dorchester,0,24019,0
2020-09-03,frederick,7,24021,0
2020-09-03,garrett,0,24023,0
2020-09-03,harford,4,24025,1
2020-09-03,howard,6,24027,0
2020-09-03,kent,2,24029,0
2020-09-03,montgomery,39,24031,0
2020-09-03,prince_georges,23,24033,0
2020-09-03,queen_annes,1,24035,0
2020-09-03,somerset,0,24039,0
2020-09-03,st_marys,0,24037,0
2020-09-03,talbot,0,24041,0
