date,county,fips,daily,average
2020-04-19,calvert,24009,0.1333,0.1931
2020-04-19,caroline,24011,0,0.1752
2020-04-19,carroll,24013,0.125,0.1507
2020-04-19,cecil,24015,0,0.24670000000000003
2020-04-19,charles,24017,0.23579999999999998,0.20980000000000001
2020-04-19,dorchester,24019,0.1429,0.1011
2020-04-19,frederick,24021,0.2455,0.24789999999999998
2020-04-19,garrett,24023,0,0
2020-04-19,harford,24025,0.1597,0.15259999999999999
2020-04-19,howard,24027,0.16469999999999999,0.2638
2020-04-19,kent,24029,0.3333,0.184
2020-04-19,montgomery,24031,0.2956,0.3189
2020-04-19,prince_georges,24033,0.37020000000000003,0.39490000000000003
2020-04-19,queen_annes,24035,0.125,0.08289999999999999
2020-04-19,somerset,24039,0,0.2944
2020-04-19,st_marys,24037,0.1026,0.08789999999999999
2020-04-19,talbot,24041,0.3,0.0571
2020-04-19,washington,24043,0.0179,0.0959
2020-04-19,wicomico,24045,0.2157,0.4242
2020-04-19,worcester,24047,0.15789999999999998,0.1284
2020-04-20,allegany,24001,0.0625,0.13269999999999998
2020-04-20,anne_arundel,24003,0.2451,0.26289999999999997
2020-04-20,baltimore,24005,0.1941,0.16440000000000002
2020-04-20,baltimore_city,24510,0.3104,0.2736
2020-04-20,calvert,24009,0.07139999999999999,0.1426
2020-04-20,caroline,24011,0.32,0.18280000000000002
2020-04-20,carroll,24013,0.21710000000000002,0.16920000000000002
2020-04-20,cecil,24015,0.0851,0.2324
2020-04-20,charles,24017,0.1881,0.203
2020-04-20,dorchester,24019,0.125,0.0781
2020-04-20,frederick,24021,0.1586,0.2382
2020-04-20,garrett,24023,0,0
2020-04-20,harford,24025,0.142,0.1559
2020-04-20,howard,24027,0.3154,0.2663
2020-04-20,kent,24029,0.3636,0.2446
2020-04-20,montgomery,24031,0.33640000000000003,0.3223
2020-04-20,prince_georges,24033,0.4065,0.4019
2020-04-20,queen_annes,24035,0.10339999999999999,0.0977
2020-04-20,somerset,24039,0.087,0.16399999999999998
2020-04-20,st_marys,24037,0.10339999999999999,0.0783
2020-04-20,talbot,24041,0.0556,0.06509999999999999
2020-04-20,washington,24043,0.0874,0.0928
2020-04-20,wicomico,24045,0.3714,0.4233
2020-04-20,worcester,24047,0.125,0.1259
2020-04-21,allegany,24001,0.5532,0.21170000000000003
2020-04-21,anne_arundel,24003,0.2,0.2438
2020-04-21,baltimore,24005,0.16670000000000001,0.1689
2020-04-21,baltimore_city,24510,0.21230000000000002,0.2713
2020-04-21,calvert,24009,0.12,0.124
2020-04-21,caroline,24011,0,0.18280000000000002
2020-04-21,carroll,24013,0.07139999999999999,0.1616
2020-04-21,cecil,24015,0,0.1728
2020-04-21,charles,24017,0.0732,0.1748
2020-04-21,dorchester,24019,0.2,0.1067
2020-04-21,frederick,24021,0.18109999999999998,0.22210000000000002
2020-04-21,garrett,24023,0,0
2020-04-21,harford,24025,0.1042,0.15130000000000002
2020-04-21,howard,24027,0.18420000000000003,0.2488
2020-04-21,kent,24029,0.5,0.2811
2020-04-21,montgomery,24031,0.3419,0.3265
2020-04-21,prince_georges,24033,0.4282,0.40299999999999997
2020-04-21,queen_annes,24035,0.2,0.1263
2020-04-21,somerset,24039,0,0.16399999999999998
2020-04-21,st_marys,24037,0.125,0.09609999999999999
2020-04-21,talbot,24041,0,0.06509999999999999
